Expected_Bytes,Actual_Bytes,Bitrate_Deviation_Percent,Duration_of_Experiment,Bitrate,Framerate,Resolution,Bitrate_Control,IDR_Interval,Codec,Stream
13125000,12591005,-4.07,30,3500000,30,RESOLUTION_2560X1440,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY
5625000,5507412,-2.09,30,1500000,15,RESOLUTION_1920X1080,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY
1125000,1033547,-8.13,30,300000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY_LOW_RES
562500,546896,-2.77,30,150000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY_LOW_RES
13125000,12429771,-5.3,30,3500000,30,RESOLUTION_2560X1440,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY
5625000,5522144,-1.83,30,1500000,15,RESOLUTION_1920X1080,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY
1125000,1016204,-9.67,30,300000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY_LOW_RES
562500,546382,-2.87,30,150000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY_LOW_RES
13125000,12399555,-5.53,30,3500000,30,RESOLUTION_2560X1440,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY
5625000,5520098,-1.86,30,1500000,15,RESOLUTION_1920X1080,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY
1125000,1095869,-2.59,30,300000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY_LOW_RES
562500,548065,-2.57,30,150000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY_LOW_RES
13125000,12450640,-5.14,30,3500000,30,RESOLUTION_2560X1440,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY
5625000,5537673,-1.55,30,1500000,15,RESOLUTION_1920X1080,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY
1125000,1075198,-4.43,30,300000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY_LOW_RES
562500,544577,-3.19,30,150000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY_LOW_RES
13125000,12510086,-4.69,30,3500000,30,RESOLUTION_2560X1440,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY
5625000,5518281,-1.9,30,1500000,15,RESOLUTION_1920X1080,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY
1125000,1084466,-3.6,30,300000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY_LOW_RES
562500,546849,-2.78,30,150000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY_LOW_RES
13125000,12491817,-4.82,30,3500000,30,RESOLUTION_2560X1440,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY
5625000,5527098,-1.74,30,1500000,15,RESOLUTION_1920X1080,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY
1125000,1085063,-3.55,30,300000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY_LOW_RES
562500,545001,-3.11,30,150000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY_LOW_RES
13125000,12688964,-3.32,30,3500000,30,RESOLUTION_2560X1440,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY
5625000,5532494,-1.64,30,1500000,15,RESOLUTION_1920X1080,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY
1125000,1112080,-1.15,30,300000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY_LOW_RES
562500,546748,-2.8,30,150000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY_LOW_RES
13125000,12714642,-3.13,30,3500000,30,RESOLUTION_2560X1440,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY
5625000,5549496,-1.34,30,1500000,15,RESOLUTION_1920X1080,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY
1125000,1105455,-1.74,30,300000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY_LOW_RES
562500,550888,-2.06,30,150000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY_LOW_RES
13125000,12583758,-4.12,30,3500000,30,RESOLUTION_2560X1440,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY
5625000,5521489,-1.84,30,1500000,15,RESOLUTION_1920X1080,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY
1125000,1116329,-0.77,30,300000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY_LOW_RES
562500,553582,-1.59,30,150000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY_LOW_RES
13125000,12821559,-2.31,30,3500000,30,RESOLUTION_2560X1440,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY
5625000,5554963,-1.25,30,1500000,15,RESOLUTION_1920X1080,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY
1125000,1104871,-1.79,30,300000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY_LOW_RES
562500,551727,-1.92,30,150000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY_LOW_RES
13125000,12748278,-2.87,30,3500000,30,RESOLUTION_2560X1440,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY
5625000,5544960,-1.42,30,1500000,15,RESOLUTION_1920X1080,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY
1125000,1102867,-1.97,30,300000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY_LOW_RES
562500,550993,-2.05,30,150000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY_LOW_RES
13125000,12782795,-2.61,30,3500000,30,RESOLUTION_2560X1440,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY
5625000,5471973,-2.72,30,1500000,15,RESOLUTION_1920X1080,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY
1125000,1105284,-1.75,30,300000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY_LOW_RES
562500,553925,-1.52,30,150000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY_LOW_RES
3750000,3780322,0.81,30,1000000,15,RESOLUTION_1280X720,BITRATE_CONTROL_CONSTANT,TWO,H264,CAMERA_PRIMARY
2812500,2838152,0.91,30,750000,15,RESOLUTION_1280X720,BITRATE_CONTROL_CONSTANT,TWO,H264,CAMERA_SECONDARY
3750000,3767678,0.47,30,1000000,15,RESOLUTION_1280X720,BITRATE_CONTROL_CONSTANT,TWO,H264,CAMERA_PRIMARY
2812500,2840735,1.0,30,750000,15,RESOLUTION_1280X720,BITRATE_CONTROL_CONSTANT,TWO,H264,CAMERA_SECONDARY
3750000,3772668,0.6,30,1000000,15,RESOLUTION_1280X720,BITRATE_CONTROL_CONSTANT,TWO,H264,CAMERA_PRIMARY
2812500,2823937,0.41,30,750000,15,RESOLUTION_1280X720,BITRATE_CONTROL_CONSTANT,TWO,H264,CAMERA_SECONDARY
3750000,3735821,-0.38,30,1000000,15,RESOLUTION_1280X720,BITRATE_CONTROL_CONSTANT,TWO,H264,CAMERA_PRIMARY
